date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2028-06-30,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0
2028-07-31,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0
2028-08-31,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0,642.0
2028-09-30,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01,640.01
2028-10-31,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0
2028-11-30,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0
2028-12-31,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51,639.51
2029-01-31,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8
2029-02-28,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8,641.8
2029-03-31,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05,643.05
2029-04-30,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0
